Average_MAG_SPS_Hz,798.729
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.933557,-2144,968,-5433
0.934504,-2120,972,-5454
0.935451,-2130,1000,-5386
0.936398,-2158,972,-5381
0.937346,-2122,986,-5472
0.938292,-2130,1020,-5382
0.93924,-2134,996,-5451
0.940186,-2156,952,-5509
0.941134,-2120,980,-5450
0.942081,-2144,1034,-5410
0.943028,-2142,1004,-5417
0.943976,-2146,1038,-5477
0.944923,-2144,968,-5391
0.94587,-2112,1000,-5345
0.946817,-2140,1016,-5417
0.947763,-2144,1006,-5367
0.94871,-2124,966,-5362
0.949658,-2070,974,-5435
0.950604,-2136,974,-5424
0.951551,-2124,1008,-5401
0.952499,-2124,992,-5445
0.953444,-2144,1008,-5344
0.954391,-2144,972,-5393
0.955338,-2152,1010,-5371
0.956283,-2144,998,-5423
0.957236,-2102,1016,-5416
0.978063,-2158,1018,-5453
0.979008,-2120,998,-5392
0.979956,-2160,1000,-5450
0.980902,-2156,984,-5401
